record_id,origin,category,year,range_start,range_end,record_type,confidence,title_en,title_tr,region_en,region_tr,role_en,role_tr,shows_en,shows_tr,does_not_show_en,does_not_show_tr,source_en,source_tr,source_url,source_type
blombos,evidence-strip,threshold,-97974,-100974,-94974,direct,high,Blombos multi-stage ochre processing,Blombos çok aşamalı aşıboyası işlemi,South Africa,Güney Afrika,Method and tacit skill,Yöntem ve örtük beceri,"Shows that a multi-component recipe with an ordered procedure existed roughly 100,000 years ago.",Çok bileşenli bir tarifin ve işlem sırasının yaklaşık 100 bin yıl önce var olduğunu gösterir.,The purpose of the mixture and how it was taught are not directly known.,Karışımın amacı ve nasıl öğretildiği doğrudan bilinmez.,"Science · Henshilwood et al., 2011","Science · Henshilwood ve diğerleri, 2011",https://www.science.org/doi/10.1126/science.1211535,journal-or-preprint
mark,evidence-strip,threshold,-70974,-72474,-69474,direct,medium,The Blombos graphic mark,Blombos grafik işareti,South Africa,Güney Afrika,External symbolic packet,Dışsal sembolik paket,An early example of a graphic mark on a portable surface.,Taşınabilir yüzeyde erken grafik işaret örneğidir.,"It cannot be called writing, nor shown to carry a specific message.",Yazı olduğu veya belirli mesaj taşıdığı söylenemez.,"Nature · Henshilwood et al., 2018","Nature · Henshilwood ve diğerleri, 2018",https://www.nature.com/articles/s41586-018-0514-3,journal-or-preprint
borneo,evidence-strip,threshold,-28974,-30974,-26974,proxy,medium,The Borneo surgical care find,Borneo cerrahi bakım bulgusu,Indonesia,Endonezya,Expertise and live instruction,Uzmanlık ve canlı öğretim,"Points to healing, anatomical and care knowledge having been transmitted.","İyileşme, anatomi ve bakım bilgisinin aktarılmış olabileceğine işaret eder.","How it was taught, and how widespread the technique was, are unknown.",Eğitim düzeni ve tekniğin yaygınlığı bilinmez.,"Nature · Maloney et al., 2022","Nature · Maloney ve diğerleri, 2022",https://www.nature.com/articles/s41586-022-05160-8,journal-or-preprint
gunaikurnai,evidence-strip,threshold,-8974,-9974,-7974,proxy,medium,GunaiKurnai ritual continuity,GunaiKurnai ritüel sürekliliği,Australia,Avustralya,Oral and embodied continuity,Sözlü ve bedensel süreklilik,Suggests that transmission without writing can survive for a very long time.,Yazısız aktarımın çok uzun süre yaşayabileceğini düşündürür.,The reading of 500 unbroken generations is open to debate.,Kesintisiz 500 nesil yorumu tartışmaya açıktır.,Nature Human Behaviour · 2024,Nature Human Behaviour · 2024,https://www.nature.com/articles/s41562-024-01912-w,journal-or-preprint
antikythera,evidence-strip,loss,-150,-205,-60,direct,high,The Antikythera mechanism,Antikythera düzeneği,Aegean · the Hellenistic world,Ege · Helenistik dünya,Applied astronomy left without a manual,Kılavuzsuz kalan uygulamalı astronomi,A single artifact proves that mechanical computation existed in the Hellenistic world — yet the rest of the chain is absent.,"Tek bir eser, Helenistik dünyada mekanik hesaplamanın var olduğunu kanıtlar — ama zincirin geri kalanı yoktur.","It does not show that geared computation was widespread — but neither does it show the absence of a continuing tradition: the specialist literature reads the surviving later geared instruments as evidence of one. Its date (~205 BCE vs ~150-100 BCE), maker and workshop remain disputed. The popular front-dial reconstructions are models fitted to fragmentary evidence, not observations.","Dişli hesaplamanın yaygın olduğunu göstermez — ama kesintisiz bir geleneğin yokluğunu da göstermez: uzman literatürü, hayatta kalan sonraki dişli aletleri süregelen bir geleneğin kanıtı sayar. Yapım tarihi (~MÖ 205 mi ~MÖ 150-100 mü), yapımcısı ve atölyesi hâlâ tartışmalıdır. Popüler ön yüz rekonstrüksiyonları gözlem değil, parçalı kanıta uydurulmuş modellerdir.","Nature · Freeth et al., 2006 (the mechanism); for the later geared tradition, Field & Wright, Annals of Science, 1985","Nature · Freeth ve diğerleri, 2006 (düzenek); sonraki dişli gelenek için Field & Wright, Annals of Science, 1985",https://www.nature.com/articles/nature05357,journal-or-preprint
roman-concrete,evidence-strip,loss,126,-200,235,direct,medium,Roman concrete and hot mixing,Roma betonu ve sıcak karışım,Roman Italy and the Mediterranean,Roma İtalyası ve Akdeniz,A step legible in the material but absent from the texts,"Malzemede okunabilen, metinde olmayan adım","The clasts are a reactive quicklime reservoir produced by hot mixing; lab replicas made this way sealed deliberately induced cracks within two weeks, while quicklime-free controls never healed.","Topaklar, sıcak karışımla üretilen reaktif bir sönmemiş kireç deposudur; bu yolla yapılan laboratuvar kopyaları bilerek açılan çatlakları iki hafta içinde kapattı; sönmemiş kireç içermeyen kontrol örnekleri hiç kapatmadı.","Intentionality is inferred, not documented; some researchers still read the clasts as relict under-burnt lime. Roman concrete is also not “stronger” than modern concrete — it is more durable in seawater and self-repairing; and Roman building knowledge was interrupted, not wholly lost.","Kasıt çıkarımdır, belgelenmiş değildir; bazı araştırmacılar topakları hâlâ eksik pişmiş kalıntı olarak okur. Ayrıca Roma betonu modern betondan “daha güçlü” değildir — deniz suyunda daha dayanıklı ve kendini onarır; Roma yapı bilgisi de tümüyle kaybolmadı, kesintiye uğradı.","Science Advances · Seymour, Maragh, Masic et al., 2023","Science Advances · Seymour, Maragh, Masic ve diğerleri, 2023",https://news.mit.edu/2023/roman-concrete-durability-lime-casts-0106,university
writing,evidence-strip,threshold,-3200,-3400,-3000,direct,high,Early Mesopotamian writing,Erken Mezopotamya yazısı,Southern Mesopotamia,Güney Mezopotamya,Durable external memory,Dayanıklı dış hafıza,Shows an economic record turning into a durable sign system.,Ekonomik kaydın kalıcı işaret sistemine dönüşmesini gösterir.,"Access depended on specialist scribes; it did not carry the whole of experience.","Erişim uzman yazıcılara bağlıydı; bütün deneyimi taşımıyordu.",Metropolitan Museum · The origins of writing,Metropolitan Museum · Yazının kökenleri,https://www.metmuseum.org/essays/the-origins-of-writing,museum-or-archive
linear-b,evidence-strip,loss,-1200,-1250,-1100,direct,high,Loss of the Linear B decoder chain,Linear B çözücü zincirinin kaybı,The Aegean,Ege,A regional break in code and institution,Bölgesel kod ve kurum kopması,A regional case showing that an archive alone is not openable knowledge.,Arşivin tek başına açılabilir bilgi olmadığını gösteren bölgesel örnektir.,It does not show that human knowledge globally declined at the same date.,Küresel insanlık bilgisinin aynı tarihte düştüğünü göstermez.,British Museum · The Mycenaean world,British Museum · Miken dünyası,https://www.britishmuseum.org/collection/galleries/greece-minoans-and-mycenaeans,museum-or-archive
nalanda,evidence-strip,threshold,600,450,1200,proxy,high,The Nalanda teaching network,Nalanda öğretim ağı,South Asia,Güney Asya,Text plus live teaching,Metin ve canlı eğitim,"Shows teachers, debate and curriculum completing the text with context.","Öğretmen, tartışma ve müfredatın metni bağlamla tamamladığını gösterir.","It was not a single, uninterrupted global network.",Tek ve kesintisiz bir küresel ağ değildir.,UNESCO World Heritage · Nalanda,UNESCO Dünya Mirası · Nalanda,https://whc.unesco.org/en/list/1502/,official-or-standards
greek-fire,evidence-strip,loss,950,672,1204,direct,medium,Greek fire and enforced secrecy,Yunan ateşi ve devlet eliyle sır,Byzantine Empire · Constantinople,Bizans İmparatorluğu · Konstantinopolis,A decoder whose circulation was deliberately restricted,Dolaşımı kasten kısıtlanan çözücü,A documented case of a state deliberately restricting the circulation of the decoder.,Bir devletin çözücünün dolaşımını bilerek kısıtladığı belgelenmiş bir vakadır.,"No surviving text gives the actual composition; every modern “reconstruction” is inference from described effects. Whether it was one fixed recipe or a family of petroleum-based mixtures, and whether it was truly lost or simply superseded, are both disputed.","Hiçbir metin gerçek bileşimi vermez; bütün modern “rekonstrüksiyonlar” etkilerden yapılan çıkarımdır. Tek bir sabit tarif mi yoksa petrol esaslı bir karışım ailesi mi olduğu, gerçekten “kaybolmuş” mu yoksa aşılmış mı olduğu tartışmalıdır.","Dumbarton Oaks Texts · Constantine VII, De Administrando Imperio","Dumbarton Oaks · Konstantin VII, De Administrando Imperio",https://www.doaks.org/resources/publications/books/de-administrando-imperio,web
